2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES95 go away to another parking after waiting for : 522ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car BMW84 go away to another parking after waiting for : 527ms
2019-04-01 13:00:15 DEBUG root:42 - Park lot #3 is using for 546 ms
2019-04-01 13:00:15 INFO  CarLogger:68 - Car BMW3 after parking for : 546 ms. Leave lot #3
2019-04-01 13:00:15 INFO  CarLogger:59 - Car FORD9 got place #3.
2019-04-01 13:00:15 INFO  CarLogger:63 - Car TOYOTA39 go away to another parking after waiting for : 541ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES41 go away to another parking after waiting for : 542ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car TOYOTA83 go away to another parking after waiting for : 544ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY88 go away to another parking after waiting for : 559ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY26 go away to another parking after waiting for : 584ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY64 go away to another parking after waiting for : 599ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES90 go away to another parking after waiting for : 600ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY23 go away to another parking after waiting for : 607ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD45 go away to another parking after waiting for : 615ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car OPEL86 go away to another parking after waiting for : 623ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car OPEL19 go away to another parking after waiting for : 631ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD44 go away to another parking after waiting for : 635ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD74 go away to another parking after waiting for : 645ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD80 go away to another parking after waiting for : 655ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD77 go away to another parking after waiting for : 660ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car BMW15 go away to another parking after waiting for : 670ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car OPEL24 go away to another parking after waiting for : 677ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY99 go away to another parking after waiting for : 703ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY16 go away to another parking after waiting for : 713ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES82 go away to another parking after waiting for : 707ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car BMW21 go away to another parking after waiting for : 722ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES10 go away to another parking after waiting for : 739ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES36 go away to another parking after waiting for : 738ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car TOYOTA42 go away to another parking after waiting for : 761ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car OPEL79 go away to another parking after waiting for : 758ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY47 go away to another parking after waiting for : 774ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD52 go away to another parking after waiting for : 788ms
2019-04-01 13:00:15 DEBUG root:42 - Park lot #1 is using for 478 ms
2019-04-01 13:00:15 INFO  CarLogger:68 - Car TOYOTA6 after parking for : 478 ms. Leave lot #1
2019-04-01 13:00:15 INFO  CarLogger:59 - Car BMW18 got place #1.
2019-04-01 13:00:15 INFO  CarLogger:63 - Car OPEL49 go away to another parking after waiting for : 830ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY25 go away to another parking after waiting for : 840ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car FORD75 go away to another parking after waiting for : 844ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car JEELY32 go away to another parking after waiting for : 853ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES48 go away to another parking after waiting for : 871ms
2019-04-01 13:00:15 INFO  CarLogger:63 - Car MERCEDES56 go away to another parking after waiting for : 873ms
2019-04-01 13:00:16 INFO  CarLogger:63 - Car JEELY71 go away to another parking after waiting for : 891ms
2019-04-01 13:00:16 INFO  CarLogger:63 - Car BMW7 go away to another parking after waiting for : 897ms
2019-04-01 13:00:16 INFO  CarLogger:63 - Car FORD43 go away to another parking after waiting for : 916ms
2019-04-01 13:00:16 DEBUG root:42 - Park lot #2 is using for 939 ms
2019-04-01 13:00:16 INFO  CarLogger:68 - Car BMW2 after parking for : 939 ms. Leave lot #2
2019-04-01 13:00:16 INFO  CarLogger:59 - Car FORD53 got place #2.
2019-04-01 13:00:16 INFO  CarLogger:63 - Car FORD87 go away to another parking after waiting for : 944ms
2019-04-01 13:00:16 DEBUG root:42 - Park lot #3 is using for 428 ms
2019-04-01 13:00:16 INFO  CarLogger:68 - Car FORD9 after parking for : 428 ms. Leave lot #3
2019-04-01 13:00:16 DEBUG root:42 - Park lot #1 is using for 147 ms
2019-04-01 13:00:16 INFO  CarLogger:68 - Car BMW18 after parking for : 147 ms. Leave lot #1
2019-04-01 13:00:16 DEBUG root:42 - Park lot #2 is using for 274 ms
2019-04-01 13:00:16 INFO  CarLogger:68 - Car FORD53 after parking for : 274 ms. Leave lot #2
2019-04-01 13:00:16 DEBUG root:42 - Park lot #4 is using for 977 ms
2019-04-01 13:00:16 INFO  CarLogger:68 - Car JEELY8 after parking for : 977 ms. Leave lot #4
